"MESS_DATUM","STATIONS_ID","Max_PT","Min_PT","Mean_PT"
2015-01-01,282,2.90387964248657,-5.3776478767395,-3.23137879371643
2015-01-01,433,3.49951314926147,-2.94075632095337,0.989733219146729
2015-01-01,1691,3.54103565216064,-6.22621583938599,-2.96594738960266
2015-01-01,1975,0.93369722366333,-5.10592126846313,-2.58342945575714
2015-01-01,2928,5.00078773498535,-3.98037672042847,-1.81663070122401
2015-01-01,3379,-Inf,Inf,NA
2015-01-01,3668,0.801907062530518,-4.98787450790405,-2.26421576738357
2015-01-01,3821,4.57741165161133,-5.92659616470337,-2.37723079594699
2015-01-01,4024,-1.346999168396,-3.86634492874146,-2.8063415090243
2015-01-01,4039,0.5070481300354,-3.71801900863647,-2.34463673830032
2015-01-01,4928,-2.01943635940552,-8.10750198364258,-4.55736039082209
2015-01-01,5705,-0.599794387817383,-7.13746023178101,-4.23286239306132
2015-01-01,5906,0.653270244598389,-6.19659852981567,-3.66943482557933
2015-01-01,7341,4.8555965423584,-5.13732862472534,-1.92217499017715
2015-01-01,7393,2.64783096313477,-4.12982606887817,-2.08641359210014
2015-01-01,15444,-2.72880601882935,-10.9299583435059,-7.64033071200053
2015-01-02,282,0.0502200126647949,-16.2861156463623,-4.44795733690262
2015-01-02,433,4.4486083984375,-2.21813344955444,0.566324778965542
2015-01-02,1691,0.617961883544922,-5.37602663040161,-2.55207029978434
2015-01-02,1975,4.410400390625,0.0952887535095215,2.537487834692
2015-01-02,2928,1.39117670059204,-4.04180097579956,-2.114118039608
2015-01-02,3379,-Inf,Inf,NA
2015-01-02,3668,-2.68333292007446,-8.34423828125,-4.69743651151657
2015-01-02,3821,0.795448780059814,-4.99887895584106,-2.82585348685582
2015-01-02,4024,3.46981716156006,-6.83946371078491,-1.21263933181763
2015-01-02,4039,4.410400390625,-2.24279260635376,0.250467330217362
2015-01-02,4928,0.72673511505127,-9.92112731933594,-4.266406138738
2015-01-02,5705,-1.94371128082275,-8.49760055541992,-4.93149455388387
2015-01-02,5906,-2.50215578079224,-8.63450813293457,-5.64942451318105
2015-01-02,7341,-2.0359935760498,-7.2766900062561,-4.40704395373662
2015-01-02,7393,1.29738521575928,-3.38897848129272,-1.26579558849335
2015-01-02,15444,-3.88606786727905,-14.0438022613525,-8.42058837413788
2015-01-03,282,3.39146971702576,-15.3960971832275,-4.10675118366877
2015-01-03,433,0.282941341400146,-3.21493577957153,-1.28869479043143
2015-01-03,1691,-0.444596767425537,-13.937536239624,-3.40473286310832
2015-01-03,1975,-0.477962970733643,-2.65418481826782,-1.34068125486374
2015-01-03,2928,0.58551025390625,-4.84419202804565,-3.05451180537542
2015-01-03,3379,-Inf,Inf,NA
2015-01-03,3668,-2.07218980789185,-4.96546697616577,-3.38568544387817
2015-01-03,3821,-2.3414044380188,-5.63443422317505,-4.17265073458354
2015-01-03,4024,-1.38085126876831,-5.12489366531372,-3.17789636055628
2015-01-03,4039,1.1160831451416,-5.15478658676147,-2.26929541428884
2015-01-03,4928,4.89148139953613,-13.7725887298584,-2.75807705521584
2015-01-03,5705,-1.85129880905151,-7.14338731765747,-5.29383023579915
2015-01-03,5906,-1.88507270812988,-17.5579605102539,-5.54143130779266
2015-01-03,7341,0.808554649353027,-5.80522775650024,-3.79875046014786
2015-01-03,7393,-2.05311965942383,-5.32433080673218,-3.75263498226802
2015-01-03,15444,1.09795618057251,-15.070972442627,-5.44815752903621
2015-01-04,282,-2.31438016891479,-5.37984228134155,-4.09547630945842
