VAR_NAMES,LABEL,DATA_TYPE,VALUE_LABELS,MISSING_LIST,JUMP_LIST,HARD_LIMITS,DETECTION_LIMITS,CONTRADICTIONS,SOFT_LIMITS,DISTRIBUTION,DECIMALS,DATA_ENTRY_TYPE,KEY_OBSERVER,KEY_DEVICE,KEY_DATETIME,KEY_STUDY_SEGMENT,VARIABLE_ROLE,VARIABLE_ORDER,LONG_LABEL
effective_date,effective_date,datetime,,9991100 | 9991200,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
loinc_code,loinc_code,integer,1 = other,9991100,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
system,system,integer,1 = other,9991100,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
display,display,integer,1 = other,9991100,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
value,value,float,,9991100,NA,[0;1000],NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unit,unit,integer,1 = other,9991100,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
